Team:,75
Match:,16
Position,DNS
AUTONOMOUS
Crossed Line:,Yes
Dropped Block:,No
Block Placement:,N/A
Blocks Picked Up:,4
Alliance Switch Blocks:,0
Scale Blocks:,0
Opponent Switch Blocks:,0
Blocks in Exchange:,0
TELEOP
Blocks Picked Up:,4
Alliance Switch Blocks:,0
Scale Blocks:,2
Opponent Switch Blocks:,3
Blocks in Exchange:,0
Levitate:,3
Force:,0
Boost:,3
ENDGAME
Climb:,Climbed Onto Wrung
Number Climbing on This:,0
Error:,Yes
Defensive:,No
Comments:,
